п/п;Наименование;Муниципальное образование, на территории которого располагается объект;Район;Адрес объекта;Контактный телефон
№;Name;Municipality;Area;Address;Phone
349;"Муниципальное образовательное учреждение ""Тетеревятская основная общеобразовательная школа"" Жирновского муниципального района Волгоградской области";Жирновский муниципальный район;Жирновский;403784, Волгоградская область, Жирновский район, сТетеревятка, ул.Молодежная, 45;(84454) 67-7-71 
350;"Муниципальное образовательное учреждение ""Бутырская начальная общеобразовательная школа"" Жирновского муниципального района Волгоградской области";Жирновский муниципальный район;Жирновский;403767, Волгоградская область, Жирновский район, с.Бутырки, ул.Центральная, 1;
351;"Муниципальное образовательное учреждение ""Недоступовская начальная общеобразовательная школа"" Жирновского муниципального района Волгоградской области";Жирновский муниципальный район;Жирновский;403789, Волгоградская область, Жирновский район, с.Недоступы, ул.Центральная, 35;
352;МБОУАвиловская СОШ;Иловлинский;Иловлинский;ул. Мира, д. 4, х. Авилов,403091;8 (84467)  5-91-30
353;МБОУ Александровская СОШ;Иловлинский;Иловлинский;ул. Советская, д. 25, с. Александровка, 403075;8 (84467)  5-53-40
354;МБОУ Большеивановская СОШ;Иловлинский;Иловлинский;ул. Школьная, д. 2А, с. Большая Ивановка, 403074;8 (84467)  5-51-01
355;МБОУ  Иловлинская СОШ №1;Иловлинский;Иловлинский;ул. Красноармейская, д. 39А, р.п.  Иловля, 403071;8 (84467)  5-12-40
356;МБОУ Иловлинская СОШ №2;Иловлинский;Иловлинский;ул. Спортивная,  д. 5,р.п. Иловля, 403071;8 (84467)  5-16-51
357;МБОУ Качалинская СОШ №1;Иловлинский;Иловлинский;пер. Школьный, д. 12, ст. Качалино,403080;8 (84467)  5-56-09
358;МБОУ Качалинская СОШ №2;Иловлинский;Иловлинский;ул. Бахтурова, д. 134, ст. Качалинская,403086;8 (84467)  5-56-02
359;МБОУ Кондрашовская СОШ;Иловлинский;Иловлинский;ул. Молодежная, д.30, с. Кондраши,403072;8 (84467)  5-44-47
360;МБОУ Краснодонская СОШ;Иловлинский;Иловлинский;ул. Школьная, д. 5, х. Краснодонский, 403081 ;8 (84467)  5-74-46
361;МБОУ Логовская СОШ;Иловлинский;Иловлинский;ул. Красная  площадь, д.6,  с. Лог, 403060;8 (84467)  5-36-31
362;МБОУ Медведевская СОШ;Иловлинский;Иловлинский;ул. Школьная, д. 1, х. Медведев, 403082;8 (84467)  5-47-30
363;МБОУ Новогригорьевская СОШ;Иловлинский;Иловлинский;ул. Дружбы Народов, д. 30, ст. Новогригорьевская, 403062;8 (84467)  5-89-49
364;МБОУ Озерская СОШ;Иловлинский;Иловлинский;ул. Школьная, д. 2, х. Озерки,403069;8 (84467)  5-86-26
365;МБОУ Сиротинская СОШ;Иловлинский;Иловлинский;ул. Пролетарская, д. 30/2, ст. Сиротинская,403065;8 (84467)  5-81-58
366;МБОУ Трехостровская СОШ;Иловлинский;Иловлинский;ул. Советская, д. 36, ст. Трехостровская,403083;8 (84467)  5-94-42
367;МБОУ Ширяевская СОШ;Иловлинский;Иловлинский;ул. Центральная, д. 59,х. Ширяевский,403098;8 (84467)  5-41-97
368;"Муниципальное бюджетное образовательное учреждение ""Средняя общеобразовательная школа № 1"" г. Калача-на-Дону Волгоградской области";г.Калач-на-Дону;Калачевский;"ул.Октябрьская, 283,
 г.Калач-на-Дону, 
Волгоградская область, 404503";8(844)72 3-13-27, 3-33-83 
369;"Муниципальное бюджетное  образовательное учреждение ""Средняя общеобразовательная школа № 2"" г. Калача-на-Дону Волгоградской области (МБОУ  СОШ №2 г.Калача-на-Дону Волгоградской области";г.Калач-на-Дону;Калачевский;г. Калач-на-Дону, улица Октябрьская, 73;8(844)72 3-14-52,  3-17-98
370;"Муниципальное  казенное  образовательное учреждение ""Средняя общеобразовательная школа № 3 г. Калача-на-Дону"" Калачёвского муниципального района Волгоградской  области  (МКОУ ""СОШ №3 г.Калача-на-Дону"") (на базе школы  2 дошкольные группы ) ";г.Калач-на-Дону;Калачевский;"ул.Дубенец, 18а,
 г.Калач-на-Дону,
Волгоградская область, 404507";8(844)72 3-16-73,  3-30-77
371;"Муниципальное бюджетное  образовательное учреждение ""Средняя общеобразовательная школа № 4"" г. Калача-на-Дону Волгоградской области  (МБОУ  СОШ №4 г.Калача-на-Дону)";г.Калач-на-Дону;Калачевский;"ул.Революционная, 421,
г.Калач-на-Дону, 
Волгоградская область, 404503";8(844)72 3-43-61
372;"Муниципальное казенное образовательное учреждение ""Береславская средняя общеобразовательная школа"" Калачевского муниципального района Волгоградской области (МКОУ ""Береславская СОШ"")     ";г.Калач-на-Дону;Калачевский;п.Береславка, Калачевский район, Волгоградская область, 404547,;8(844)72 5-35-69
373;"Муниципальное казенное образовательное учреждение ""Советская средняя общеобразовательная школа"" Калачевского муниципального района Волгоградской области  (МКОУ  ""Советская  СОШ"")";г.Калач-на-Дону;Калачевский;"ул.Прямая, 7а, 
п. Комсомольский, 
Калачёвский район, 
Волгоградская область,404546";8(844)72 6-19-10
374;"Муниципальное  казенное образовательное учреждение ""Ляпичевская  средняя общеобразовательная школа"" Калачевского муниципального района Волгоградской области  (МКОУ ""Ляпичевская СОШ"")";г.Калач-на-Дону;Калачевский;"ул.Мира, 7, 
х.Ляпичев,
Калачёвский район, 
Волгоградская область,  404510";8(844)72 4-43-97
375;"Муниципальное казенное  образовательное учреждение ""Логовская средняя общеобразовательная школа"" Калачевского муниципального района Волгоградской области (МКОУ  ""Логовская СОШ"")";г.Калач-на-Дону;Калачевский;"х. Логовский, 
Калачёвский район, 
Волгоградская область,404519";8(844)72 4-43-54
376;"Муниципальное казенная образовательное учреждение ""Голубинская средняя общеобразовательная школа"" Калачевского муниципального района Волгоградской области (МКОУ ""Голубинская СОШ"")";г.Калач-на-Дону;Калачевский;"ст. Голубинская,
 Калачёвский район, Волгоградская область, 404532";8(844)72 5-51-32
377;"Муниципальное казенное  образовательное учреждение ""Кривомузгинская средняя общеобразовательная школа им. З.Петрова"" Калачевского муниципального района  Волгоградской области (МКОУ ""Кривомузгинская СОШ"")";г.Калач-на-Дону;Калачевский;"ул.Советская, 2а, 
п. Волгодонской, 
Калачёвский район, 
Волгоградскаяобласть,404546";8(844)72 5-25-18
378;"Муниципальное казенное образовательное учреждение ""Бузиновская средняя общеобразовательная школа"" Калачевского муниципального района Волгоградской области  (МКОУ ""Бузиновская СОШ"")";г.Калач-на-Дону;Калачевский;"ул.Школьная, 1, 
с.Бузиновка, 
Калачёвский район, 
Волгоградская область,404544";8(844)72 5-65-18
379;"Муниципальное казенное образовательное учреждение ""Прудбойская средняя общеобразовательная школа"" Калачевского муниципального района Волгоградской области (""МКОУ ""Прудбойская  СОШ"")";г.Калач-на-Дону;Калачевский;"ул.Молодежная, 4, 
п. Прудбой, 
Калачёвский район, 
Волгоградская область,404550";8(844)72 6-13-06
380;"Муниципальное казенное  образовательное учреждение ""Приморская основная общеобразовательная школа"" Калачевского муниципального района Волгоградской области  (МКОУ ""Приморская  ООШ"")";г.Калач-на-Дону;Калачевский;"ул.Мира, 13, 
х. Приморский, 
Калачёвский район, 
Волгоградская область, 404528";8(844)72 5-13-59
